i,j,vm_mrs,mem_mrs,backoff_mrs
93,75,50500,8,0
88,32,601412,84,502
78,12,46562,11,0
24,17,489656,87,340
47,24,461040,108,333
83,7,343591,67,2634
26,25,490125,81,333
51,6,82409,18,35
71,10,50532,9,0
90,5,43608,8,0
94,75,45732,10,0
63,30,359187,71,265
6,3,85855,19,37
92,21,38890,8,0
48,20,51634,8,0
66,33,57499,10,0
97,58,41851,7,0
98,11,45206,7,0
96,36,41215,5,0
42,26,51591,9,0
12,11,371326,82,620
99,85,39366,7,0
65,32,314545,100,272
80,49,464914,83,1261
81,33,49527,8,0
80,32,46148,9,0
67,60,46735,8,0
81,58,70575,8,0
99,93,45429,7,0
78,22,45903,8,0
55,18,343229,171,312
91,26,42058,10,0
65,56,497998,90,365
57,24,346411,62,739
54,36,142306,28,3742
52,7,372045,67,397
72,55,53159,15,0
26,1,53035,9,0
42,38,51831,9,0
82,54,628284,183,1050
50,34,47717,8,0
14,10,134864,24,75
56,17,578874,97,462
80,38,710640,140,951
82,7,50222,10,0
30,29,43262,8,0
19,15,323443,68,1798
91,48,57389,8,0
88,51,337805,65,433
55,21,632796,119,1354
75,48,204950,8,0
37,15,89391,12,37
59,43,1617577,187,6091
31,5,305463,51,190
95,47,40415,9,0
74,35,47617,8,0
96,85,45243,8,0
75,69,42496,8,0
23,3,47847,9,0
79,4,59372,8,0
24,6,43483,8,0
92,89,43851,10,0
15,11,368002,89,280
99,29,48903,8,0
76,66,219946,47,157
93,20,51158,8,0
78,66,92188,20,40
69,31,46253,7,0
37,27,921269,247,748
97,17,43366,9,0
72,7,48215,8,0
51,33,374402,75,270
68,55,46520,8,0
26,5,99198,19,40
21,5,383583,69,266
55,51,476481,115,869
92,40,43699,8,0
100,22,55008,37,0
85,60,267845,71,200
44,14,52760,9,0
71,13,50037,8,0
93,6,66929,10,0
74,62,278642,70,243
87,64,349281,71,329
95,16,44616,8,0
41,26,51966,8,0
94,90,45772,9,0
39,23,46000,8,0
94,51,56457,8,0
18,11,196973,39,135
52,20,89118,17,38
90,31,43637,7,0
45,35,363316,59,339
95,8,48453,8,0
57,44,366448,271,1522
63,56,309171,71,223
84,41,532265,93,882
81,37,45277,7,0
72,11,54944,8,0
11,9,280286,60,247
48,24,57535,8,0
74,47,43578,8,0
93,47,42920,7,0
66,28,49188,9,0
35,12,47910,8,0
91,73,46630,8,0
77,54,43579,7,0
70,5,48828,8,0
51,32,361166,80,282
55,35,167619,28,139
66,31,45749,8,0
75,21,48601,7,0
47,33,671407,140,1775
79,30,48150,8,0
79,55,50755,6,0
56,14,371342,75,467
46,9,59253,8,0
68,66,196185,34,115
79,39,47770,8,0
61,11,36927,9,0
39,30,39035,9,0
85,2,49710,8,0
24,19,439693,82,304
98,68,41882,9,0
83,12,91224,27,40
71,7,379382,72,350
80,78,408732,74,652
85,53,995381,214,838
33,12,46643,10,0
62,1,41712,7,0
96,24,43879,8,0
78,19,44535,5,0
40,36,49292,8,0
89,2,57494,8,0
79,9,429236,88,382
64,21,490087,88,533
57,7,136048,28,78
44,7,38316,8,0
97,20,42363,8,0
69,49,44183,8,0
52,3,332308,55,223
79,28,50551,11,0
39,19,48945,9,0
88,38,55449,8,0
87,20,453913,84,453
82,66,52572,9,0
44,40,258259,43,166
49,40,43265,10,0
100,45,46722,7,0
99,15,85120,9,0
92,17,46046,7,0
62,50,170045,25,122
88,43,241320,34,405
29,26,50843,8,0
86,43,543372,112,4922
53,9,298638,55,186
42,3,94556,21,41
77,62,47163,8,0
96,4,108733,8,0
53,26,269380,47,399
71,29,40462,8,0
96,44,44933,7,0
47,35,95175,15,35
66,37,44855,8,0
97,81,47625,9,0
87,56,391299,80,276
65,21,127839,23,76
17,11,222995,43,192
45,17,49643,8,0
81,5,46227,8,0
76,57,47909,10,0
100,3,43785,8,0
91,77,51356,8,0
96,56,44564,7,0
97,54,42836,7,0
86,19,423128,81,1454
64,34,353362,67,267
100,53,45576,7,0
98,20,46906,8,0
44,34,46635,8,0
67,7,152421,25,145
47,45,51265,7,0
49,6,41770,8,0
56,42,368909,84,262
32,24,44518,7,0
71,26,47100,8,0
56,39,368876,68,338
66,63,43328,8,0
98,46,55018,8,0
45,18,46005,8,0
73,45,44830,12,0
91,53,48865,5,0
97,12,38772,7,0
73,12,44212,7,0
67,10,488955,86,351
54,38,144841,28,83
43,38,604059,109,404
79,62,47402,9,0
61,36,433708,79,2272
100,48,41229,9,0
73,44,47433,10,0
93,17,45365,8,0
50,15,42991,8,0
92,37,42743,8,0
35,16,47319,5,0
93,16,49966,6,0
28,1,49378,24,0
92,63,58989,9,0
79,45,46887,8,0
28,3,46584,9,0
61,53,128412,24,123
100,87,360951,71,1275
84,39,359532,180,696
54,24,378651,64,1088
98,94,41618,10,0
97,22,38149,8,0
79,34,54251,8,0
45,38,390414,71,531
96,45,44060,8,0
50,3,62362,14,0
61,44,190302,31,134
47,46,46750,10,0
63,3,354436,62,557
98,29,43875,8,0
90,2,53274,9,0
91,86,61290,8,0
74,59,370618,69,1149
57,30,514885,112,1429
98,18,73441,8,0
79,63,51514,8,0
43,30,455530,114,452
49,22,54061,8,0
87,4,147496,28,210
49,12,44047,8,0
76,28,42748,9,0
54,19,750550,154,1227
95,79,42364,8,0
71,54,85206,14,0
96,34,47598,10,0
73,43,45338,10,0
100,56,42138,7,0
83,38,53868,10,0
59,27,161301,71,158
74,36,46660,8,0
84,71,44916,8,0
62,31,47285,7,0
27,16,689705,125,637
92,27,43714,8,0
64,37,343126,68,280
98,22,46569,7,0
85,46,439774,96,337
50,20,45059,9,0
57,36,502480,89,1074
59,42,168305,26,353
91,70,47197,8,0
72,32,48978,9,0
52,50,327494,64,311
82,81,41486,9,0
35,3,49083,11,0
71,70,57695,9,0
52,51,839212,172,652
43,33,728945,134,554
49,9,92740,17,39
77,47,50287,10,0
72,29,45902,7,0
57,12,383856,66,508
90,20,83039,14,39
91,84,40787,11,0
94,35,37425,8,0
99,38,41474,9,0
59,56,679190,531,7165
43,7,241931,40,144
88,65,328382,77,590
83,79,405696,68,267
76,21,47693,9,0
55,12,93749,21,38
43,36,94016,19,40
93,87,45508,9,0
63,29,356081,70,275
84,37,408887,84,1221
83,59,432277,97,5220
82,6,398944,83,408
88,55,40217,9,0
90,66,45232,9,0
80,65,292189,82,4545
100,6,37782,7,0
90,32,43805,8,0
58,1,92412,65,45
43,5,195406,55,119
91,27,48752,8,0
81,47,54786,8,0
90,53,47195,5,0
47,23,459766,163,1529
57,27,503918,211,9375
80,68,270874,65,799
73,34,43085,8,0
24,3,315061,61,231
40,22,54298,8,0
76,54,102852,8,0
95,22,40904,9,0
62,21,439441,79,388
94,92,46519,9,0
50,45,48437,9,0
89,33,45998,8,0
72,24,42918,9,0
100,43,46086,8,0
89,36,39745,8,0
55,42,379639,118,375
98,73,45782,10,0
90,40,43120,8,0
25,20,329593,92,580
99,12,41978,7,0
18,10,306929,70,215
76,15,49499,9,0
81,77,49613,11,0
20,19,406907,76,319
46,34,44542,10,0
50,40,45848,9,0
79,42,42261,8,0
83,53,864962,2708,3658
49,21,52341,8,0
81,12,50848,8,0
87,62,356050,82,317
29,17,40747,8,0
97,90,52185,8,0
74,23,45838,9,0
7,2,221244,46,172
67,59,62904,13,0
94,64,46632,9,0
40,39,51432,8,0
52,10,44561,9,0
58,40,423404,88,583
77,17,45503,14,0
68,41,40541,9,0
91,15,43961,7,0
99,75,59752,10,0
49,45,93035,20,38
79,68,57820,8,0
81,22,44143,8,0
69,33,41764,8,0
71,69,44540,9,0
98,76,46680,9,0
88,4,84908,43,37
77,32,44733,7,0
98,2,77726,14,0
93,55,40507,7,0
86,70,336419,73,1306
70,37,47518,8,0
96,27,48733,8,0
49,46,137473,21,188
54,25,343256,121,439
27,8,223481,56,156
79,13,39992,8,0
85,58,966894,159,1588
94,70,47297,8,0
68,18,48232,8,0
86,26,330133,62,235
62,34,794053,155,806
92,76,42468,8,0
91,12,48866,7,0
97,88,47687,8,0
97,72,45349,7,0
25,19,619266,108,698
73,5,46463,9,0
28,4,46052,11,0
34,10,45216,7,0
54,52,284349,58,201
67,47,50589,9,0
73,24,44222,11,0
39,5,52458,9,0
85,56,336569,58,233
79,11,438425,92,416
55,48,689659,162,512
58,4,748194,141,18763
74,33,43845,6,0
72,15,44125,8,0
12,4,139602,29,102
64,6,92059,20,51
93,8,49930,9,0
72,63,43763,8,0
83,42,360548,82,287
61,48,480679,115,743
100,93,330733,64,417
94,48,47854,25,0
68,26,48501,9,0
51,11,258593,50,564
48,39,557432,105,493
31,8,47193,8,0
24,21,214753,71,325
17,8,50772,7,0
48,16,781322,192,616
100,4,1127996,267,1094
97,13,46071,8,0
63,62,549618,104,420
54,15,375988,80,306
66,26,44677,10,0
44,2,47233,8,0
97,79,44247,9,0
94,8,75765,8,0
96,30,50818,8,0
63,60,371936,68,278
33,14,45574,8,0
37,1,45917,11,0
37,9,43374,8,0
90,27,43322,609,0
69,52,70105,9,0
96,12,43018,10,0
80,57,574716,112,465
79,15,52429,7,0
58,14,292084,51,196
86,32,443374,82,488
61,19,635055,116,590
73,62,45547,12,0
100,29,45683,7,0
91,88,52741,7,0
47,19,561753,108,477
87,85,225326,68,180
86,73,50745,8,0
48,28,49635,9,0
90,72,44108,9,0
84,48,442401,131,421
84,66,435486,79,298
60,23,280654,47,920
88,3,87844,17,41
88,6,420714,69,511
36,2,42256,5,0
56,35,367326,70,1644
52,6,39527,8,0
43,27,48147,8,0
94,58,45595,10,0
95,37,46745,7,0
87,67,386462,67,379
94,77,44700,8,0
100,50,43262,9,0
88,29,222115,33,373
53,49,354581,77,285
86,28,488175,87,465
81,44,33564,5,0
83,69,369845,72,308
43,6,242831,42,153
25,14,763672,194,1537
60,15,417285,76,1697
55,34,408894,84,545
71,59,661055,51,4358
63,22,501435,93,388
28,15,49640,9,0
97,61,44972,8,0
41,16,49276,9,0
65,12,44864,10,0
52,27,369555,74,279
89,48,112665,693,0
98,27,44229,8,0
95,46,50189,7,0
92,8,50115,8,0
45,41,37794,5,0
47,27,361312,70,298
91,79,41282,10,0
94,21,36542,7,0
44,18,51091,8,0
97,23,41224,7,0
45,16,46340,8,0
85,10,92420,21,39
61,42,159703,27,174
34,26,46994,12,0
82,38,255797,46,499
79,7,142330,25,80
42,37,46187,6,0
23,14,477998,86,340
49,19,44979,8,0
82,55,470221,139,426
84,3,90192,13,36
83,47,549060,99,715
79,36,42871,8,0
80,39,50591,8,0
65,34,543827,105,1282
47,17,409011,71,293
41,7,52561,9,0
61,46,981830,180,1951
43,29,413572,114,448
44,12,53303,9,0
53,40,572074,99,501
82,19,157584,27,120
100,73,44068,7,0
62,44,337273,64,227
25,1,46104,9,0
77,8,34505,10,0
40,2,48531,8,0
81,52,70028,8,0
92,22,47451,9,0
98,28,48626,8,0
100,91,47856,8,0
73,60,49596,8,0
75,10,36360,6,0
32,21,39603,7,0
48,5,140829,29,91
91,47,55962,8,0
66,36,60389,15,0
28,21,44796,8,0
90,23,45084,10,0
64,17,56735,9,0
100,51,40199,10,0
82,75,47354,8,0
70,11,43219,8,0
68,47,42736,8,0
87,38,571273,104,648
99,22,52562,10,0
94,63,55363,8,0
86,8,839631,136,1785
67,25,42464,9,0
56,16,45480,9,0
80,7,42822,8,0
29,20,42379,10,0
88,84,416171,81,2311
95,32,47437,10,0
36,18,43373,11,0
81,73,53257,8,0
76,42,46480,9,0
41,34,49150,15,0
64,2,48146,10,0
50,43,51397,9,0
79,10,307954,66,2160
91,41,55808,9,0
95,54,43083,9,0
83,62,104205,21,39
74,22,48532,8,0
39,33,51277,5,0
93,62,45602,8,0
85,25,446668,151,331
13,2,91282,23,46
80,9,53893,8,0
79,50,46573,8,0
27,19,648541,160,470
22,6,49152,10,0
89,25,36549,8,0
48,42,502536,106,384
52,30,426047,86,302
96,40,46446,8,0
23,2,146017,28,95
58,11,39038,6,0
41,27,49186,12,0
20,3,89643,18,37
54,43,331221,66,380
87,49,42936,8,0
85,47,328289,61,250
100,15,41898,8,0
31,29,40585,11,0
61,52,338128,59,219
64,23,430748,86,338
