i,j,vm_mrs,mem_mrs,backoff_mrs
77,61,65115,11,0
56,46,419151,120,745
77,22,59248,9,0
62,61,1282464,219,3770
53,13,50994,9,0
12,10,136632,26,392
44,27,65868,7,0
67,28,40405,8,0
85,84,414585,132,452
56,54,328783,70,319
53,7,143293,22,80
45,27,54951,8,0
28,7,43622,9,0
49,32,368062,51,221
58,3,258971,56,170
86,3,149058,25,77
27,22,54775,7,0
98,78,41333,8,0
43,37,598406,106,427
30,18,47094,9,0
97,62,44341,7,0
36,13,47398,9,0
28,22,47993,8,0
35,21,44335,9,0
35,32,253898,41,405
56,6,48295,11,0
72,41,52780,8,0
29,16,47884,8,0
37,18,688503,127,653
76,25,55280,9,0
100,86,45048,8,0
67,30,50882,8,0
59,41,183140,30,1422
92,71,94273,15,33
62,40,105979,15,84
76,41,45284,10,0
87,24,437480,66,277
96,47,44221,7,0
47,31,526412,110,521
43,4,189910,34,119
100,33,44668,7,0
46,14,45426,10,0
79,16,40392,9,0
99,11,42237,8,0
90,33,45880,8,0
78,8,41837,9,0
8,2,193358,32,122
75,37,56823,68,0
71,42,45881,11,0
25,22,269898,50,679
75,65,48572,10,0
63,34,360022,66,273
80,35,60847,9,0
65,50,681760,127,2352
88,69,434158,82,2106
84,47,62688,8,0
77,55,45201,8,0
39,20,48353,10,0
65,59,48086,10,0
59,34,51142,9,0
80,67,411097,69,3570
53,37,183510,37,169
98,67,51571,8,0
21,19,346060,72,265
84,82,323968,65,603
36,25,98803,17,37
88,80,50179,40,0
44,25,43870,6,0
99,14,45169,11,0
80,46,652519,115,812
76,40,49084,8,0
82,22,522616,95,464
92,81,43255,8,0
42,36,75729,8,0
30,27,100737,18,209
99,8,49574,8,0
68,62,55067,8,0
73,20,54123,8,0
47,40,42873,9,0
22,15,504636,103,557
38,12,47537,10,0
61,58,371639,66,349
52,37,349130,64,881
85,21,508053,76,348
67,18,465119,111,344
97,35,45373,8,0
90,46,49714,10,0
42,28,47714,8,0
41,12,43754,8,0
41,20,41960,9,0
83,29,305216,56,781
80,70,629413,138,796
97,93,43090,10,0
100,94,635769,133,3284
87,78,556054,121,17704
94,6,39598,9,0
86,41,270248,55,385
99,28,53552,9,0
82,70,45680,7,0
72,64,287122,55,227
60,44,1266675,183,2365
90,69,43176,8,0
51,7,118492,18,80
38,18,46377,9,0
37,20,54410,7,0
40,6,50753,8,0
52,17,565962,112,521
20,15,307083,59,431
19,5,592915,169,500
89,1,49344,8,0
90,13,54645,8,0
87,63,355122,69,308
55,28,55529,8,0
29,8,43766,8,0
56,38,376587,69,490
70,38,46028,8,0
33,25,47179,8,0
45,4,191040,32,141
95,41,47659,10,0
75,6,51311,8,0
73,58,41530,8,0
27,24,454278,85,350
89,5,55541,8,0
61,33,404797,77,334
57,2,164704,29,138
33,11,49876,9,0
57,14,380576,67,1340
48,21,673864,132,917
85,15,64505,10,0
97,57,42620,7,0
83,2,44798,20,0
66,15,42058,8,0
35,33,54509,5,0
95,83,45073,8,0
33,16,46119,8,0
66,6,46660,8,0
93,4,47656,11,0
96,64,41439,7,0
60,43,230264,38,167
98,92,48165,8,0
45,8,40269,10,0
83,44,326450,65,239
79,18,45219,9,0
21,2,47454,8,0
49,48,1024773,208,1127
93,85,44573,8,0
78,76,241287,57,161
79,19,48880,9,0
41,9,49001,8,0
87,17,500907,81,1200
13,12,43533,8,0
29,11,103457,17,37
96,63,36272,8,0
60,42,207303,535,433
94,49,43014,7,0
34,8,101470,17,39
70,54,42641,8,0
72,58,43640,12,0
93,35,45103,19,0
93,57,158396,27,714
86,10,535174,85,1568
23,19,46600,9,0
39,22,46978,9,0
46,19,45708,5,0
93,32,44717,8,0
70,59,46838,8,0
58,2,97897,18,61
9,2,45143,8,0
75,27,44253,9,0
71,15,45760,7,0
82,34,754701,138,725
68,13,48789,10,0
52,39,390060,71,590
100,28,47534,7,0
80,4,55787,8,0
55,31,553285,124,370
75,56,45545,8,0
8,7,403799,75,350
91,19,45166,7,0
8,6,190815,34,109
75,55,43612,8,0
83,66,421413,76,513
76,75,47361,8,0
37,26,46036,8,0
63,11,47383,8,0
63,38,781687,156,842
69,43,43935,9,0
58,35,534444,100,1009
99,46,53098,11,0
63,20,506299,112,435
81,53,49987,8,0
68,4,45806,8,0
53,21,417767,86,2104
26,3,88214,20,59
19,18,856983,184,1471
85,6,156442,27,386
74,39,48613,11,0
91,31,39092,8,0
84,56,395594,66,550
72,61,136344,28,75
73,51,82053,15,0
77,58,42850,9,0
70,2,53994,10,0
87,74,558173,124,551
63,59,309629,56,232
26,4,203664,41,548
80,40,468177,66,1419
79,65,46948,8,0
90,62,56104,8,0
88,42,196683,27,94
61,12,168538,34,223
32,23,44062,7,0
91,90,47189,9,0
77,18,94899,18,40
93,15,46832,8,0
58,6,445193,64,375
63,49,363765,69,283
81,42,48095,9,0
99,16,54448,9,0
59,26,543123,111,4213
42,14,497880,104,2178
97,43,37662,7,0
95,82,121362,27,186
90,8,46308,9,0
75,26,56285,10,0
93,37,44190,8,0
61,13,519112,92,1322
67,56,44601,9,0
94,16,46473,7,0
98,51,49059,8,0
51,25,577156,119,481
41,5,97811,17,37
58,28,468459,107,919
48,33,46485,8,0
94,29,41061,4,0
86,4,457705,71,528
99,45,55197,9,0
89,41,39864,11,0
49,44,50474,7,0
84,28,476319,81,698
89,60,47056,7,0
65,27,720214,130,2238
55,19,882267,156,2688
66,21,46422,8,0
20,9,236154,45,172
100,71,44003,7,0
74,67,372227,82,416
40,25,51415,8,0
66,50,43276,8,0
89,32,46781,8,0
70,68,96323,16,37
58,25,515748,93,901
90,59,40829,8,0
98,5,41864,8,0
88,12,55937,10,0
6,4,229091,39,154
49,2,34466,7,0
71,65,51140,9,0
100,77,46436,7,0
87,10,414406,181,338
68,15,56640,11,0
42,15,486883,83,348
94,4,38450,8,0
99,30,67051,9,0
61,7,228949,26,188
87,37,525521,99,386
57,16,582405,132,580
34,19,50575,9,0
47,8,47018,9,0
92,5,49502,9,0
66,4,86667,8,0
84,62,89249,19,471
79,21,46546,8,0
48,37,280721,53,761
18,12,329741,72,482
94,62,48564,8,0
21,18,252278,52,247
58,8,176600,42,570
90,3,50001,8,0
82,80,51727,33,0
67,5,98273,16,34
88,16,45499,9,0
67,52,45954,4,0
61,56,327921,61,229
60,38,592088,105,1085
80,25,45402,34,0
85,31,54446,8,0
84,65,236501,45,182
62,54,654754,181,1695
20,7,136009,27,76
80,72,450038,131,867
79,54,36146,10,0
77,33,43404,8,0
84,25,292175,56,698
49,30,46938,10,0
68,64,104270,16,38
75,9,46553,8,0
84,68,433400,83,350
32,27,49093,11,0
34,33,49432,8,0
54,47,347233,140,997
46,20,47864,9,0
84,11,352786,67,459
72,65,141223,27,76
81,25,44662,9,0
42,29,145700,29,81
76,34,50587,9,0
86,53,48901,10,0
62,30,46039,9,0
78,54,54036,9,0
70,63,46773,8,0
63,28,49235,6,0
62,49,106917,14,58
54,23,789104,151,974
98,40,60835,8,0
96,59,45429,9,0
66,53,44646,8,0
48,29,85974,19,39
76,56,48546,9,0
92,55,45336,10,0
98,15,47061,9,0
85,81,41883,8,0
50,22,49414,10,0
16,8,358017,72,267
77,73,43187,9,0
63,39,170572,30,127
100,25,43693,8,0
83,75,595512,94,767
93,73,45249,7,0
80,66,541396,108,3099
75,63,46472,23,0
84,14,455694,88,969
78,14,45938,10,0
100,35,48935,8,0
18,3,328455,75,296
7,4,215258,47,160
52,21,97538,16,36
59,44,297539,26,210
70,30,43954,10,0
50,25,50249,8,0
92,91,41552,7,0
99,83,43938,8,0
91,62,39224,8,0
60,57,733650,97,7580
88,57,313516,69,284
55,53,298499,69,248
72,30,45132,8,0
96,16,46500,11,0
61,16,38359,9,0
55,25,48165,8,0
65,51,678964,143,2148
41,36,43969,8,0
78,42,44401,9,0
26,10,280222,52,187
46,26,43342,9,0
97,16,43694,7,0
90,25,41836,8,0
83,36,444872,87,312
99,64,51554,9,0
78,10,40317,9,0
55,2,48414,9,0
57,19,575330,104,1205
98,81,47032,9,0
55,33,587601,369,7398
83,34,172874,26,85
70,29,48372,7,0
50,36,44172,8,0
86,30,486867,127,834
84,80,312875,80,257
86,7,416137,56,428
93,59,45607,8,0
88,64,445064,75,363
84,83,812968,176,811
61,15,209173,54,1042
61,21,102627,18,39
78,5,47059,9,0
54,32,524873,106,590
44,6,38942,8,0
100,85,46775,8,0
84,13,45051,9,0
91,64,68101,8,0
100,54,42457,7,0
40,38,394094,69,2533
83,70,381185,68,290
62,3,218340,44,173
62,55,489428,97,1079
49,38,48909,8,0
81,63,42745,8,0
73,68,50979,9,0
70,3,45589,9,0
58,57,47944,9,0
10,3,97563,17,38
58,51,334484,66,256
97,51,38613,8,0
60,33,52334,9,0
76,35,43519,8,0
95,21,43624,9,0
85,82,426657,142,1446
82,65,399678,66,975
75,39,53325,10,0
83,17,378743,75,324
69,35,52413,8,0
43,31,462114,93,358
63,16,464392,90,905
22,10,47490,8,0
18,15,362666,64,254
85,71,337034,56,848
92,3,42514,8,0
84,44,1145674,231,4416
94,20,40913,7,0
43,28,365809,140,1043
83,65,45867,37,0
78,34,43195,9,0
36,6,316391,99,231
92,10,55138,10,0
96,2,50807,10,0
63,43,324599,59,237
69,1,41425,9,0
100,64,44409,7,0
69,30,48539,8,0
77,53,43292,8,0
66,60,46729,8,0
27,13,47616,7,0
94,13,49844,7,0
32,15,46159,8,0
86,59,399643,113,1738
45,20,46389,7,0
40,19,51985,8,0
92,50,47161,8,0
96,48,48808,8,0
85,14,248272,36,575
97,10,39405,9,0
46,17,43912,12,0
85,78,556359,128,1657
57,51,399505,72,1973
95,36,47420,7,0
39,16,44311,10,0
68,67,374759,73,592
92,85,61668,8,0
30,26,49100,10,0
53,44,198946,38,147
77,20,40487,7,0
98,64,48189,7,0
74,12,53827,8,0
20,16,365216,71,292
15,6,50657,8,0
32,9,47511,9,0
82,78,47900,10,0
80,42,658522,109,3359
49,28,44594,20,0
95,94,53542,5,0
69,19,45990,9,0
64,47,514342,87,691
64,24,105983,16,37
83,51,629714,127,2624
77,29,51110,9,0
83,55,706407,136,1410
36,7,47637,8,0
49,7,45861,9,0
67,32,54727,8,0
63,46,310620,53,229
85,65,102629,16,41
83,24,467955,88,402
36,29,42895,8,0
46,3,48820,8,0
84,6,401986,88,2696
88,10,306835,59,7221
65,64,487978,91,812
62,56,493105,93,477
55,36,47674,9,0
69,20,54398,7,0
23,4,467619,101,336
49,29,126095,30,83
66,59,46774,9,0
64,29,256289,50,195
54,17,467852,113,331
68,57,46112,9,0
50,21,48747,8,0
89,34,42603,8,0
53,39,374675,78,989
90,88,47662,10,0
56,41,325308,66,232
10,6,225801,62,151
50,28,42513,8,0
63,21,498997,96,791
96,42,44969,7,0
72,39,56692,11,0
64,57,52388,10,0
50,41,43461,8,0
96,49,44097,7,0
85,12,106287,16,38
59,28,51579,8,0
57,56,1034076,228,1908
84,45,556975,118,1250
32,28,189514,32,115
88,76,201637,55,120
84,40,361039,67,472
63,6,100715,34,194
72,14,48600,9,0
10,1,44900,9,0
84,53,383853,81,354
89,28,39986,5,0
59,52,665402,62,342
59,15,109916,20,78
87,14,355110,59,321
79,43,46798,8,0
86,21,645423,153,1821
29,19,51126,7,0
96,3,56674,9,0
73,22,43716,8,0
56,1,79614,7,0
67,20,53467,8,0
77,49,56829,14,0
60,13,345687,68,1074
91,80,60850,25,0
98,90,40928,8,0
39,10,48336,8,0
43,12,140698,21,75
75,1,44552,7,0
22,17,47182,9,0
73,71,50452,8,0
44,32,241366,36,114
32,2,40986,9,0
98,23,40566,7,0
62,16,337248,72,467
29,28,46762,8,0
25,24,407674,88,313
81,23,45539,8,0
42,11,247821,43,242
100,79,53947,7,0
96,92,47380,7,0
94,61,67898,8,0
99,47,49893,9,0
14,5,223868,43,912
85,39,45485,8,0
89,17,51784,9,0
19,4,43024,8,0
49,25,48687,34,0
89,46,54472,8,0
66,51,46392,9,0
91,38,50795,14,0
82,43,110030,31,49
62,2,44904,7,0
77,48,46540,9,0
69,47,37476,9,0
51,8,315049,73,228
88,11,622400,125,2317
83,50,349962,63,594
95,33,48011,8,0
100,9,87121,17,44
100,61,42633,7,0
97,28,44304,8,0
30,14,42737,9,0
99,94,47667,9,0
42,19,1003203,733,1182
93,68,42685,8,0
68,35,48387,8,0
84,54,749114,130,620
46,5,48960,7,0
49,3,96424,20,46
40,5,48927,8,0
32,11,46125,8,0
94,47,39913,8,0
48,4,995258,207,891
54,12,378381,73,284
100,41,41563,8,0
85,29,1000287,205,1064
81,39,55767,6,0
62,12,84583,16,80
64,58,309343,64,525
74,27,45543,9,0
93,83,51983,9,0
69,8,41529,9,0
46,44,49196,10,0
97,85,46499,5,0
82,63,340961,77,1009
51,42,534701,100,432
41,13,42708,8,0
82,2,51943,9,0
84,64,749842,126,739
32,16,48723,10,0
79,38,48191,8,0
76,11,45013,9,0
16,9,266667,56,193
92,69,49184,8,0
97,64,74137,7,0
66,12,58897,6,0
87,23,428688,82,1670
61,49,314813,64,580
55,9,525507,112,388
92,32,50213,11,0
94,59,55501,9,0
62,57,306309,66,2398
59,2,343199,42,4863
66,16,51234,8,0
17,14,414896,72,315
53,46,447040,82,698
87,28,404777,88,460
62,38,436208,77,6536
48,44,49029,9,0
78,61,49145,7,0
39,26,40626,9,0
98,97,42654,8,0
26,18,608948,134,939
46,2,45723,11,0
93,24,33812,8,0
75,23,56903,10,0
63,24,549334,106,431
8,5,189670,33,115
55,27,568985,102,1625
92,82,51793,7,0
90,50,47567,8,0
94,32,41644,8,0
59,36,176366,30,99
72,16,50396,8,0
54,37,47332,9,0
51,10,166213,33,223
95,81,37338,9,0
24,7,320050,56,324
95,84,433944,88,377
44,16,50166,8,0
26,11,604063,108,457
40,33,48017,7,0
48,15,46506,7,0
81,71,41205,10,0
89,59,43209,10,0
76,17,45620,9,0
13,3,472370,102,5956
48,12,43707,9,0
5,3,46063,8,0
90,80,44425,10,0
82,4,427959,80,777
42,12,399697,63,358
62,28,634762,268,11243
75,44,187283,967,0
48,45,447371,99,373
12,6,183846,35,126
44,23,46108,7,0
81,8,44579,8,0
68,37,44866,8,0
98,91,62188,8,0
67,43,50627,7,0
5,2,131304,26,80
86,60,517189,96,1289
75,57,49951,8,0
80,30,47797,9,0
14,12,408246,73,399
45,44,47883,9,0
98,41,43271,8,0
59,18,448376,89,1048
97,34,44778,8,0
87,55,379890,74,1446
53,32,290311,52,273
100,72,39357,7,0
66,46,39282,8,0
48,7,49010,8,0
73,17,42626,5,0
30,1,43284,8,0
30,4,46494,7,0
55,24,379936,68,1095
84,7,175856,32,264
69,44,51104,8,0
65,46,118286,14,45
91,33,43742,11,0
85,51,647254,147,493
45,43,56736,8,0
86,51,315271,50,194
49,36,47344,6,0
80,55,387917,75,749
54,40,330721,64,333
84,75,370876,88,273
43,24,481135,96,473
41,33,40616,9,0
62,4,43431,8,0
75,46,51839,8,0
70,46,45447,11,0
85,35,411961,82,341
96,90,40020,8,0
93,30,43049,7,0
98,89,49007,10,0
24,2,43563,9,0
96,76,51474,8,0
91,49,42147,8,0
45,42,43145,8,0
92,88,70879,9,0
31,27,37966,8,0
34,24,46928,8,0
100,60,42699,7,0
27,17,472828,81,392
77,2,58077,7,0
47,44,44454,5,0
66,57,48381,8,0
47,5,383109,79,307
45,14,46983,10,0
51,38,421612,69,318
39,35,46571,10,0
97,84,52754,8,0
100,19,44392,7,0
79,1,53167,7,0
64,16,636213,160,2398
36,21,48290,7,0
97,25,45091,8,0
92,72,48960,7,0
80,75,500164,104,2945
89,24,43900,9,0
32,31,50276,9,0
77,26,48205,9,0
61,2,42149,8,0
58,9,219522,41,1801
56,33,273732,43,223
41,18,143514,26,266
45,39,418849,92,519
63,53,315747,65,246
53,30,306967,50,201
77,27,70135,10,0
42,8,450613,96,1250
63,37,322119,70,238
96,67,46023,7,0
98,16,43053,10,0
70,8,46857,10,0
36,12,53271,7,0
65,45,218989,34,703
26,12,321625,62,217
76,29,43063,9,0
23,15,490483,84,344
17,10,646436,113,545
27,2,42312,8,0
77,6,227465,46,487
56,40,425271,82,302
29,1,40193,9,0
80,33,57486,8,0
25,8,43552,12,0
94,15,45661,7,0
74,18,59051,9,0
40,37,937762,191,1076
88,1,43944,9,0
99,2,46336,9,0
86,79,581874,121,617
76,31,55972,11,0
54,41,378256,80,293
94,87,54462,8,0
51,14,46319,8,0
30,8,45657,9,0
38,8,47740,26,0
14,2,46086,9,0
39,14,42393,8,0
91,63,45227,8,0
30,6,50798,9,0
83,23,418123,118,312
35,5,46056,10,0
77,68,73588,10,0
97,6,43377,8,0
97,52,48682,7,0
55,17,284963,92,228
92,18,45695,14,0
92,34,48400,8,0
38,2,85902,18,51
67,41,46162,8,0
96,83,60622,8,0
94,84,40198,9,0
53,17,48199,8,0
44,38,155926,64,309
96,29,46510,8,0
96,1,48973,10,0
27,23,447155,79,381
92,1,141333,8,0
65,5,41804,11,0
76,61,190401,36,109
100,70,42880,7,0
94,78,48450,9,0
94,68,53474,9,0
98,86,42804,10,0
83,10,44977,8,0
28,17,38212,9,0
98,93,51889,8,0
30,15,45925,11,0
96,62,37601,8,0
88,21,59785,15,40
37,8,48548,8,0
32,19,45764,8,0
68,22,43052,12,0
52,28,369961,74,266
97,21,40230,8,0
92,12,36679,7,0
82,52,571817,109,3040
79,57,45092,9,0
58,17,472745,91,523
19,3,337940,64,321
85,72,339416,58,343
85,48,429904,77,393
68,63,99182,16,38
54,30,297161,47,198
56,11,426569,79,385
51,44,377492,115,353
55,6,152782,32,1702
24,1,40047,9,0
16,12,316148,67,237
88,66,395507,104,3980
56,55,735259,139,599
83,46,498601,100,423
85,50,535521,126,668
34,7,47588,8,0
72,66,288364,54,584
100,23,42406,8,0
77,14,48572,9,0
52,9,771243,147,680
88,47,309668,135,259
93,78,45908,8,0
67,45,46548,8,0
93,7,188421,9,0
70,23,45623,8,0
95,42,48933,6,0
46,35,49397,6,0
94,83,51720,8,0
42,39,41694,9,0
96,19,51054,8,0
64,7,100147,20,54
31,25,47916,8,0
21,13,368160,79,281
73,48,43079,9,0
46,28,44128,9,0
97,36,41738,8,0
44,4,49373,7,0
39,12,47419,5,0
95,60,42643,8,0
45,34,91223,16,38
96,31,57480,8,0
84,10,442488,98,974
45,19,48627,9,0
82,71,44743,8,0
42,16,648659,117,581
91,85,47620,8,0
42,35,52271,8,0
91,40,49063,10,0
87,76,56143,9,0
86,16,156020,28,537
64,26,368767,68,376
60,6,46397,8,0
80,3,52831,8,0
89,12,66108,9,0
34,31,40276,9,0
30,9,94158,16,39
69,24,45955,8,0
81,19,51889,9,0
54,6,440679,94,306
90,63,110331,7,0
73,66,60726,8,0
70,27,52672,9,0
74,37,43567,8,0
63,44,315324,60,230
33,17,44947,7,0
75,4,45947,10,0
84,26,534635,87,845
47,42,46032,11,0
34,9,43297,7,0
83,22,416264,76,331
100,80,56842,85,0
92,51,47081,8,0
58,19,466689,91,446
57,8,278000,51,357
76,6,45659,9,0
89,67,39147,9,0
98,65,42158,8,0
80,52,195322,34,143
72,23,43806,10,0
67,35,45559,8,0
52,29,370979,63,251
90,18,83050,20,36
26,9,232926,45,166
35,11,43593,8,0
97,3,47465,8,0
82,26,478004,98,1004
41,37,43518,7,0
65,9,46067,8,0
59,47,50065,10,0
75,49,79867,9,0
90,17,46933,9,0
57,3,46592,22,0
42,7,88506,20,40
41,8,52674,10,0
18,9,52257,8,0
89,22,41636,8,0
54,35,462460,108,514
92,58,50701,6,0
82,68,47669,8,0
55,45,390872,71,344
72,42,47686,9,0
6,2,208425,57,155
97,96,63053,7,0
85,79,49190,33,0
25,23,316462,56,336
66,2,53664,8,0
49,13,47351,8,0
100,13,39325,8,0
33,20,48155,8,0
47,37,48787,8,0
16,3,103017,18,36
92,4,41764,9,0
67,27,48164,8,0
37,16,477519,129,824
72,67,381651,172,327
27,6,173602,36,542
38,28,275806,55,551
87,39,193859,36,142
81,75,42986,6,0
51,3,51945,8,0
66,39,47188,9,0
41,1,42073,9,0
79,73,81259,8,0
35,19,51584,5,0
74,44,60265,9,0
38,14,403701,73,423
84,60,313273,68,2653
33,15,45711,9,0
49,24,47889,8,0
78,16,50394,8,0
66,61,45105,10,0
59,54,844386,96,2631
67,14,619944,101,575
77,38,46912,8,0
64,3,391670,74,430
54,20,502428,100,539
100,88,174012,35,299
84,59,159162,34,415
66,10,46071,8,0
86,40,104675,18,84
71,55,51441,10,0
53,45,401023,75,358
46,21,49660,8,0
20,4,443195,90,382
62,13,307585,57,413
41,24,52231,8,0
63,18,93566,18,41
56,15,366792,70,301
4,1,87245,19,37
51,4,100656,18,175
93,80,60550,8,0
100,78,46234,7,0
90,29,104951,16,243
87,61,312169,64,313
87,33,351896,68,238
70,35,43578,8,0
86,61,54979,8,0
50,14,47354,9,0
70,18,47445,10,0
75,68,54840,8,0
45,1,50712,8,0
93,70,46814,8,0
84,55,191359,35,120
60,59,193700,38,681
93,21,48880,8,0
19,13,541404,99,820
96,86,43515,9,0
89,49,55193,10,0
85,64,105713,21,35
71,43,44735,9,0
70,13,65917,10,0
25,6,40458,20,0
71,35,51541,7,0
22,1,53444,10,0
96,88,46239,9,0
72,40,48294,7,0
43,25,376147,75,292
86,37,49581,8,0
32,3,97604,19,38
96,18,60057,10,0
37,13,46175,8,0
31,19,49770,10,0
94,54,51310,8,0
89,11,50647,10,0
69,50,43821,9,0
90,35,62241,8,0
47,36,335453,53,714
94,86,44503,9,0
86,34,484016,105,779
46,30,42582,8,0
94,56,52558,8,0
89,30,43385,8,0
88,70,432736,89,1523
62,18,387816,72,534
61,54,332211,62,234
30,5,45033,8,0
32,30,190973,33,113
83,28,551959,109,513
54,7,280478,57,465
74,8,54667,10,0
76,8,43516,8,0
56,44,784964,146,3768
64,50,470034,130,432
23,7,422223,83,301
73,31,42431,8,0
99,6,45290,8,0
71,56,49647,9,0
67,21,437434,78,300
43,40,394683,74,252
82,16,389422,73,274
59,29,763916,112,3727
86,15,1127781,207,5263
72,3,48085,12,0
68,56,48600,8,0
78,58,48012,11,0
50,8,59406,9,0
32,25,48115,8,0
41,19,47706,8,0
75,43,121277,9,0
75,38,58404,7,0
65,31,226149,45,156
33,29,45987,9,0
67,48,54552,11,0
76,26,98713,17,38
21,8,48655,9,0
91,55,52231,7,0
68,46,48723,8,0
90,60,40600,10,0
96,8,50543,8,0
97,65,36515,4,0
95,89,44280,8,0
97,70,45103,9,0
73,13,44500,8,0
70,39,43724,8,0
67,33,50374,10,0
70,15,47058,8,0
97,44,54358,9,0
86,22,377668,112,413
81,55,63507,8,0
95,58,44693,8,0
57,47,302370,54,184
68,53,44645,8,0
77,5,349827,63,467
43,15,860597,151,2089
83,16,324399,60,303
91,74,50915,8,0
64,56,475408,112,402
25,9,272157,51,212
97,15,43564,7,0
92,16,57058,8,0
27,12,521672,92,394
33,3,44192,8,0
57,17,571959,102,767
68,19,78315,7,0
18,14,376460,70,309
99,82,42987,7,0
44,9,50817,7,0
78,46,45662,8,0
76,32,47154,9,0
91,75,61235,9,0
94,17,43903,8,0
75,41,83182,14,0
72,1,48811,18,0
42,27,493386,94,345
86,67,436314,89,363
86,38,564324,110,836
68,40,94831,17,37
78,37,51374,11,0
64,40,351155,70,266
100,99,44756,9,0
65,10,42400,8,0
97,49,51164,8,0
91,65,45378,9,0
84,20,428297,115,820
48,38,373989,65,281
93,74,41110,8,0
95,68,66582,8,0
90,78,45397,13,0
82,39,586915,131,1013
53,18,216538,425,200
92,52,44098,8,0
69,39,47339,10,0
59,11,270617,44,1771
58,24,39705,8,0
25,13,402420,69,253
68,48,44092,8,0
69,42,69856,8,0
65,17,47008,7,0
80,1,45437,7,0
45,23,53282,8,0
91,36,44902,10,0
82,62,463192,272,1521
84,5,132791,26,105
94,12,48761,8,0
94,65,41732,10,0
64,1,48331,9,0
64,49,361399,70,270
59,48,378633,247,2819
47,39,45257,8,0
99,21,48834,9,0
22,5,101549,17,64
45,31,44716,7,0
48,19,149094,28,423
88,52,485351,122,478
84,63,534947,100,604
69,17,45613,9,0
92,25,40382,8,0
73,46,53086,10,0
97,83,42881,9,0
79,75,55668,10,0
45,28,110658,18,44
38,3,45127,7,0
73,42,43442,5,0
32,10,48384,9,0
87,58,365870,91,305
69,2,154904,30,87
47,22,458285,87,616
90,57,41525,7,0
88,81,43343,8,0
68,25,44381,9,0
77,63,93323,11,0
96,32,43772,8,0
54,3,54181,12,0
79,24,43114,8,0
58,36,422809,74,364
55,39,395330,116,331
90,12,44012,8,0
76,39,43456,8,0
87,52,357317,59,257
91,45,52476,8,0
91,46,49778,7,0
74,48,311532,58,224
82,79,47862,8,0
69,13,58548,9,0
51,5,223690,43,161
78,63,41895,8,0
66,48,48674,7,0
47,16,596433,126,453
90,4,94233,16,38
43,10,570037,110,733
85,63,46980,7,0
67,62,43149,7,0
40,14,47979,8,0
44,21,49412,8,0
92,68,43249,8,0
88,23,240016,49,174
42,23,688485,144,515
53,10,443294,80,518
87,68,383289,1487,389
36,19,85131,20,37
95,75,47921,15,0
54,26,1111910,335,1336
15,1,49502,9,0
80,13,54882,9,0
66,8,100212,9,0
51,20,525158,104,455
70,65,50548,8,0
85,68,679532,117,1959
92,64,48328,9,0
69,56,108656,21,652
98,13,44787,7,0
98,3,41555,7,0
53,2,41560,10,0
86,23,52480,10,0
31,9,49204,9,0
50,31,47762,9,0
22,9,567763,113,429
35,17,42473,7,0
53,27,47529,9,0
43,42,50874,7,0
99,63,55010,8,0
92,38,45839,5,0
100,24,78214,8,0
96,7,43829,10,0
78,73,355281,64,610
75,22,55616,8,0
60,46,477447,79,803
18,4,446913,86,360
51,49,43282,9,0
72,56,43897,11,0
4,2,237194,42,155
11,4,37154,10,0
94,69,44237,7,0
90,36,47732,8,0
21,17,64144,18,33
97,31,39939,9,0
44,39,47497,8,0
99,74,38636,8,0
96,20,51133,8,0
81,64,42012,8,0
54,49,405247,71,292
75,71,43454,10,0
59,32,665561,1944,785
23,11,172457,53,125
84,1,52390,8,0
98,69,46605,10,0
73,10,45995,8,0
38,30,344467,84,1381
33,30,39942,8,0
72,9,56299,9,0
61,23,148739,39,85
76,69,93249,24,894
83,4,46009,10,0
91,68,48809,9,0
98,24,44414,7,0
38,9,49028,8,0
85,69,346702,55,647
62,22,220502,43,199
32,5,46169,11,0
28,13,46705,10,0
57,4,295494,57,363
42,34,96623,19,39
67,34,58711,8,0
74,17,38992,9,0
65,16,41533,10,0
34,30,57064,7,0
96,91,38122,8,0
56,43,370365,67,1203
53,16,489591,91,425
91,69,50102,9,0
39,28,45447,8,0
77,65,39934,6,0
58,45,42213,8,0
55,54,654658,159,1629
25,21,229011,44,154
78,11,49605,12,0
21,9,318017,68,224
19,12,227016,34,149
18,16,366915,75,312
84,27,330896,50,336
35,2,52909,9,0
45,2,97353,19,41
32,8,40323,8,0
95,90,47777,7,0
23,8,568581,104,428
85,62,399470,105,306
84,30,531789,91,1121
41,31,46057,11,0
32,14,48406,22,0
77,25,46493,5,0
90,19,82872,17,35
23,20,390720,72,282
60,12,47128,8,0
76,5,46291,7,0
90,45,47801,7,0
26,6,286466,67,191
35,20,47886,9,0
31,2,229456,45,859
71,9,184876,37,147
71,4,84849,17,35
19,6,47810,8,0
92,7,51845,8,0
52,15,474392,83,499
96,52,39840,7,0
17,2,49754,4,0
41,4,42815,8,0
100,10,43073,7,0
88,53,339010,65,579
91,34,38882,7,0
98,63,48691,11,0
65,30,90820,18,41
35,30,54532,8,0
89,57,43346,8,0
94,23,142647,23,96
100,57,38723,7,0
97,29,44541,7,0
49,47,46904,8,0
82,42,545293,257,1752
80,10,43983,8,0
43,32,514986,124,705
80,41,918129,162,10070
51,29,419142,81,339
40,1,45482,9,0
99,17,46983,8,0
79,77,53409,9,0
